binary;function;function count;common linux file;networking;
/bin/smbpasswd (-rwxr-xr-x root root);strcpy;1;true;no;
/bin/mldproxy (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/ip6tables (-rwxr-xr-x root root);popen;1;true;no;
/bin/pppoe (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/nmbd (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/smbpasswd (-rwxr-xr-x root root);system;1;true;no;
/bin/iwpriv (-rwxr-xr-x root root);strcpy;1;true;no;
/bin/igmpproxy (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/iwcontrol (-rwxr-xr-x root root);strcpy;1;false;no;
/bin/wscd (-rwxr-xr-x root root);printf;1;false;yes;
/bin/l2tpd (-rwxr-xr-x root root);system;1;false;yes;
/bin/mldproxy (-rwxr-xr-x root root);system;1;false;yes;
/bin/lld2d (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/flash (-rwxr-xr-x root root);system;1;false;yes;
/bin/iwpriv (-rwxr-xr-x root root);system;1;true;no;
/bin/auth (-rwxr-xr-x root root);strcpy;1;true;yes;
/bin/pppoe (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/igmpproxy (-rwxr-xr-x root root);system;1;false;yes;
/bin/iwcontrol (-rwxr-xr-x root root);system;1;false;no;
/bin/pppoe-server (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/lld2d (-rwxr-xr-x root root);strcat;1;false;yes;
/bin/routed (-rwxr-xr-x root root);fprintf;1;false;yes;
/bin/pppoe (-rwxr-xr-x root root);popen;1;true;yes;
/bin/ip6tables (-rwxr-xr-x root root);printf;1;true;no;
/bin/pppoe-relay (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/pppd (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/auth (-rwxr-xr-x root root);system;1;true;yes;
/bin/lld2d (-rwxr-xr-x root root);strcpy;1;false;yes;
/bin/pppoe (-rwxr-xr-x root root);printf;1;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/tc (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/routed (-rwxr-xr-x root root);mmap;1;false;yes;
/bin/pppoe-relay (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/wscd (-rwxr-xr-x root root);sprintf;1;false;yes;
/bin/disktype (-rwxr-xr-x root root);fprintf;1;false;no;
/bin/pppoe (-rwxr-xr-x root root);sprintf;1;true;yes;
/bin/busybox (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/lld2d (-rwxr-xr-x root root);system;1;false;yes;
/bin/ip (-rwxr-xr-x root root);fprintf;1;true;yes;
/bin/pppoe-server (-rwxr-xr-x root root);popen;1;true;yes;
/bin/pptp (-rwxr-xr-x root root);mmap;1;true;yes;
/bin/iptables (-rwxr-xr-x root root);fprintf;1;true;no;
/bin/pppoe-relay (-rwxr-xr-x root root);popen;1;true;yes;
/bin/disktype (-rwxr-xr-x root root);mmap;1;false;no;
/bin/ip6tables (-rwxr-xr-x root root);sprintf;1;true;no;
