binary;function;function count;common linux file;networking;
/sbin/upnpc (-rwxr-xr-x root root);fprintf;19;false;yes;
/sbin/tsa (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/bulkUpgrade (-rwxr-xr-x root root);system;7;false;no;
/sbin/miniupnpd (-rwxr-xr-x root root);fprintf;59;false;yes;
/sbin/udhcpc (-rwxr-xr-x root root);strcpy;3;false;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);popen;2;false;yes;
/sbin/signalc (-rwxr-xr-x root root);system;1;false;yes;
/sbin/udhcpd (-rwxr-xr-x root root);strcpy;6;false;yes;
/sbin/dhcp6s (-rwxr-xr-x root root);system;4;false;yes;
/sbin/rdnssd (-rwxr-xr-x root root);fprintf;4;true;yes;
/sbin/rdisc6 (-rwxr-xr-x root root);fprintf;2;true;no;
/sbin/mailsend (-rwxr-xr-x root root);printf;86;false;no;
/sbin/udhcpd (-rwxr-xr-x root root);system;3;false;yes;
/sbin/drws (-rwxr-xr-x root root);fprintf;23;false;no;
/sbin/upnpc (-rwxr-xr-x root root);printf;104;false;yes;
/sbin/noip2 (-rwxr-xr-x root root);fprintf;2;false;no;
/sbin/mailsend (-rwxr-xr-x root root);sprintf;8;false;no;
/sbin/jjhttpd (-rwxr-xr-x root root);printf;440;false;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);printf;493;false;yes;
/sbin/rdnssd (-rwxr-xr-x root root);popen;1;true;yes;
/sbin/pppListener (-rwxr-xr-x root root);printf;27;false;yes;
/sbin/upnpc (-rwxr-xr-x root root);sprintf;1;false;yes;
/sbin/mailsend (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/rdisc6 (-rwxr-xr-x root root);printf;4;true;no;
/sbin/rdnssd (-rwxr-xr-x root root);printf;34;true;yes;
/sbin/jjhttpd (-rwxr-xr-x root root);sprintf;17;false;yes;
/sbin/get_set (-rwxr-xr-x root root);printf;6;false;no;
/sbin/pppListener (-rwxr-xr-x root root);sprintf;2;false;yes;
/sbin/drws (-rwxr-xr-x root root);printf;125;false;no;
/sbin/noip2 (-rwxr-xr-x root root);printf;76;false;no;
/sbin/mailsend (-rwxr-xr-x root root);strcpy;12;false;no;
/sbin/mDNSResponderPosix (-rwxr-xr-x root root);printf;54;false;yes;
/sbin/rdnssd (-rwxr-xr-x root root);sprintf;19;true;yes;
/sbin/miniupnpd (-rwxr-xr-x root root);printf;173;false;yes;
/sbin/dhcp_discover (-rwxr-xr-x root root);printf;18;false;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);sprintf;17;false;yes;
/sbin/drws (-rwxr-xr-x root root);sprintf;15;false;no;
/sbin/noip2 (-rwxr-xr-x root root);sprintf;57;false;no;
/sbin/mailsend (-rwxr-xr-x root root);system;2;false;no;
/sbin/rdnssd (-rwxr-xr-x root root);strcat;5;true;yes;
/sbin/dhcp_discover (-rwxr-xr-x root root);sprintf;6;false;yes;
/sbin/pppListener (-rwxr-xr-x root root);strcpy;5;false;yes;
/sbin/upnpc (-rwxr-xr-x root root);system;7;false;yes;
/sbin/jjhttpd (-rwxr-xr-x root root);strcpy;13;false;yes;
/sbin/noip2 (-rwxr-xr-x root root);strcat;64;false;no;
/sbin/miniupnpd (-rwxr-xr-x root root);sprintf;3;false;yes;
/bin/smbd (-rwxr-xr-x root root);sprintf;30;true;yes;
/sbin/rdnssd (-rwxr-xr-x root root);strcpy;13;true;yes;
/lib/libbulk.so (-rwxr-xr-x root root);fprintf;2;false;no;
/sbin/pppListener (-rwxr-xr-x root root);system;2;false;yes;
/sbin/mDNSResponderPosix (-rwxr-xr-x root root);sprintf;3;false;yes;
/sbin/bulkListen (-rwxr-xr-x root root);system;1;false;yes;
/sbin/drws (-rwxr-xr-x root root);strcpy;12;false;no;
/sbin/dhcp6c (-rwxr-xr-x root root);strcat;7;false;yes;
/sbin/noip2 (-rwxr-xr-x root root);strcpy;45;false;no;
/sbin/dhcp_discover (-rwxr-xr-x root root);strcpy;1;false;yes;
/sbin/jjhttpd (-rwxr-xr-x root root);system;2;false;yes;
/sbin/rdnssd (-rwxr-xr-x root root);system;4;true;yes;
/sbin/drws (-rwxr-xr-x root root);system;7;false;no;
/lib/libbulk.so (-rwxr-xr-x root root);popen;1;false;no;
/lib/libleopard.so (-rwxr-xr-x root root);fprintf;184;false;yes;
/lib/libncc_comm.so (-rwxr-xr-x root root);fprintf;9;false;yes;
/sbin/noip2 (-rwxr-xr-x root root);system;1;false;no;
/sbin/dhcp_discover (-rwxr-xr-x root root);system;5;false;yes;
/lib/libbulk.so (-rwxr-xr-x root root);printf;11;false;no;
/sbin/dhcp6c (-rwxr-xr-x root root);strcpy;34;false;yes;
/lib/ld-uClibc-0.9.30.3.so (-rwxr-xr-x root root);printf;13;false;no;
/sbin/miniupnpd (-rwxr-xr-x root root);strcpy;31;false;yes;
/lib/libbulk.so (-rwxr-xr-x root root);sprintf;2;false;no;
/lib/libncc_comm.so (-rwxr-xr-x root root);printf;28;false;yes;
/lib/libleopard.so (-rwxr-xr-x root root);popen;2;false;yes;
/lib/libcrypt-0.9.30.3.so (-rwxr-xr-x root root);strcat;1;false;no;
/sbin/mDNSResponderPosix (-rwxr-xr-x root root);strcpy;2;false;yes;
/sbin/dhcp6c (-rwxr-xr-x root root);system;19;false;yes;
/lib/libcrypt-0.9.30.3.so (-rwxr-xr-x root root);strcpy;1;false;no;
/lib/libleopard.so (-rwxr-xr-x root root);printf;358;false;yes;
/lib/libbulk.so (-rwxr-xr-x root root);system;1;false;no;
/lib/libblack_cat.so (-rwxr-xr-x root root);strcpy;1;false;no;
/lib/libleopard.so (-rwxr-xr-x root root);sprintf;61;false;yes;
/lib/libleopard.so (-rwxr-xr-x root root);strcat;2;false;yes;
/lib/libleopard.so (-rwxr-xr-x root root);strcpy;30;false;yes;
/lib/libleopard.so (-rwxr-xr-x root root);system;4;false;yes;
/lib/libpthread-0.9.30.3.so (-rwxr-xr-x root root);mmap;1;false;no;
/lib/libapmib.so (-rwxr-xr-x root root);fprintf;11;false;no;
/lib/libssl.so.0.9.8 (-rwxr-xr-x root root);fprintf;3;false;no;
/lib/libcJSON.so (-rwxr-xr-x root root);printf;5;false;no;
/lib/libcJSON.so (-rwxr-xr-x root root);sprintf;5;false;no;
/lib/libapmib.so (-rwxr-xr-x root root);printf;46;false;no;
/lib/libcJSON.so (-rwxr-xr-x root root);strcpy;3;false;no;
/lib/libapmib.so (-rwxr-xr-x root root);sprintf;11;false;no;
/lib/libcrypto.so.0.9.8 (-rwxr-xr-x root root);fprintf;5;false;yes;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);fprintf;19;false;no;
/lib/libapmib.so (-rwxr-xr-x root root);strcpy;23;false;no;
/lib/libssl.so.0.9.8 (-rwxr-xr-x root root);printf;18;false;no;
/lib/libapmib.so (-rwxr-xr-x root root);system;1;false;no;
/sbin/ncc2 (-rwxr-xr-x root root);fprintf;1342;false;yes;
/bin/smbd (-rwxr-xr-x root root);system;9;true;yes;
/lib/libssl.so.0.9.8 (-rwxr-xr-x root root);strcpy;1;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);printf;45;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);sprintf;17;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);strcat;1;false;no;
/lib/libuClibc-0.9.30.3.so (-rwxr-xr-x root root);strcpy;25;false;no;
/lib/libcrypto.so.0.9.8 (-rwxr-xr-x root root);printf;284;false;yes;
/lib/libcrypto.so.0.9.8 (-rwxr-xr-x root root);sprintf;1;false;yes;
/lib/libcrypto.so.0.9.8 (-rwxr-xr-x root root);strcat;2;false;yes;
/lib/libcrypto.so.0.9.8 (-rwxr-xr-x root root);strcpy;4;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);popen;1;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);printf;2953;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);sprintf;722;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);strcat;46;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);strcpy;908;false;yes;
/sbin/ncc2 (-rwxr-xr-x root root);system;384;false;yes;
