binary;function;function count;common linux file;networking;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);printf;38;false;no;
/usr/sbin/rtkmib (-rwxr-xr-x root root);printf;6;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);strcpy;55;false;no;
/usr/sbin/factory_reset (-rwxr-xr-x root root);system;2;false;no;
/usr/lib/libEventLog.so (-rw-r--r-- root root);printf;1;false;no;
/usr/sbin/hnap_tool_wifi_sitesurvey (-rwxr-xr-x root root);system;3;false;no;
/usr/lib/libcrypto.so.0.9.8 (-r-xr-xr-x root root);fprintf;4;false;yes;
/usr/sbin/cfg (-rwxr-xr-x root root);sprintf;2;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);strcpy;7;false;no;
/usr/sbin/mdb (-rwxr-xr-x root root);system;10;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);printf;11;false;no;
/usr/lib/libUserConfig.so (-rw-r--r-- root root);system;1;false;no;
/usr/sbin/mkdosfs (-rwxr-xr-x root root);sprintf;1;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);fprintf;3;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);fprintf;12;false;no;
/usr/sbin/eventd (-rwxr-xr-x root root);system;20;false;no;
/usr/sbin/cfg (-rwxr-xr-x root root);strcat;2;false;no;
/usr/lib/libFVnetwork.so (-rw-r--r-- root root);system;4;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);fprintf;1;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);sprintf;8;false;no;
/usr/lib/libnet.so.0 (-rwxr-xr-x root root);fprintf;1;false;yes;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);sprintf;6;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);printf;1;false;no;
/usr/lib/libFVbase64.so (-rw-r--r-- root root);strcpy;2;false;no;
/usr/lib/libcrypto.so.0.9.8 (-r-xr-xr-x root root);sprintf;1;false;yes;
/usr/lib/libFtp.so (-rw-r--r-- root root);printf;9;false;yes;
/usr/lib/libProfile.so (-rw-r--r-- root root);fprintf;2;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);printf;10;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);fprintf;21;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);strcat;6;false;no;
/usr/lib/libnet.so.0 (-rwxr-xr-x root root);sprintf;1;false;yes;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);strcat;1;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);fprintf;7;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);sprintf;7;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);sprintf;2;false;no;
/usr/lib/libFtp.so (-rw-r--r-- root root);sprintf;4;false;yes;
/usr/lib/libssl.so.0.9.8 (-r-xr-xr-x root root);fprintf;3;false;no;
/usr/lib/libProfile.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);printf;7;false;no;
/usr/lib/libEMail.so (-rw-r--r-- root root);strcpy;6;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);sprintf;143;false;no;
/usr/lib/libcrypto.so.0.9.8 (-r-xr-xr-x root root);strcat;2;false;yes;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);sprintf;41;false;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);fprintf;7;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);strcpy;4;false;no;
/usr/lib/libcfg.so (-rw-r--r-- root root);strcat;1;false;no;
/usr/lib/libFVsystem.so (-rw-r--r-- root root);sprintf;4;false;no;
/usr/lib/libFVconfig.so (-rw-r--r-- root root);system;5;false;no;
/usr/lib/libasp.so.0 (-rwxr-xr-x root root);fprintf;1;false;no;
/usr/lib/libcfgbackup.so (-rw-r--r-- root root);strcpy;1;false;no;
/usr/lib/libFtp.so (-rw-r--r-- root root);strcpy;5;false;yes;
/usr/lib/libMsgctrl.so (-rw-r--r-- root root);strcpy;4;false;no;
/usr/lib/libFVwireless.so (-rw-r--r-- root root);strcat;7;false;no;
/usr/lib/libHttpNotify.so (-rw-r--r-- root root);sprintf;7;false;no;
/usr/lib/libweb.so.0 (-rwxr-xr-x root root);strcat;4;false;no;
/usr/lib/libssl.so.0.9.8 (-r-xr-xr-x root root);strcpy;1;false;no;
/usr/lib/libutl.so.0 (-rwxr-xr-x root root);system;1;false;no;
/usr/lib/libFVmtd.so (-rw-r--r-- root root);sprintf;1;false;no;
/usr/lib/libRingBuf.so (-rw-r--r-- root root);fprintf;8;false;no;
/usr/lib/libcrypto.so.0.9.8 (-r-xr-xr-x root root);strcpy;5;false;yes;
/usr/lib/libcfg.so (-rw-r--r-- root root);strcpy;16;false;no;
